"formula","Site","Year","Season","Polar"
"C9H15O4N1","Xeric",2019,"Fall","polar"
"C9H15O4N1","Xeric",2018,"Fall","polar"
"C9H15O4N1","Xeric",2018,"Spring","polar"
"C9H15O4N1","Mesic",2018,"LateSpring","polar"
"C9H15O4N1","Mesic",2017,"Fall","polar"
"C9H15O4N1","Mesic",2018,"Spring","polar"
"C9H15O4N1","Mesic",2018,"Fall","polar"
"C9H15O4N1","Mesic",2017,"Spring","polar"
"C9H15O4N1","Mesic",2019,"Fall","polar"
"C9H15O4N1","Mesic",2019,"Spring","polar"
"C10H19O3N1","Xeric",2019,"Fall","polar"
"C10H19O3N1","Xeric",2018,"Fall","polar"
"C10H19O3N1","Xeric",2019,"Spring","polar"
"C10H19O3N1","Hydric",2019,"Spring","polar"
"C10H19O3N1","Hydric",2017,"Spring","polar"
"C10H19O3N1","Hydric",2018,"Spring","polar"
"C10H19O3N1","Hydric",2018,"LateSpring","polar"
"C10H19O3N1","Hydric",2019,"Fall","polar"
"C10H19O3N1","Hydric",2018,"Fall","polar"
"C10H19O3N1","Mesic",2018,"LateSpring","polar"
"C10H19O3N1","Mesic",2017,"Fall","polar"
"C10H19O3N1","Mesic",2018,"Spring","polar"
"C10H19O3N1","Mesic",2017,"Spring","polar"
"C8H6O4","Xeric",2018,"Spring","polar"
"C8H6O4","Xeric",2019,"Spring","polar"
"C8H6O4","Hydric",2017,"Fall","polar"
"C8H6O4","Hydric",2018,"Spring","polar"
"C8H6O4","Hydric",2018,"LateSpring","polar"
"C8H6O4","Hydric",2018,"Fall","polar"
"C8H6O4","Mesic",2017,"Fall","polar"
"C8H6O4","Mesic",2017,"Spring","polar"
"C8H6O4","Mesic",2018,"Spring","polar"
"C8H10O6","Mesic",2018,"LateSpring","polar"
"C12H10O3","Xeric",2019,"Fall","polar"
"C12H10O3","Xeric",2017,"Fall","polar"
"C12H10O3","Xeric",2018,"Fall","polar"
"C12H10O3","Xeric",2018,"Spring","polar"
"C12H10O3","Xeric",2017,"Spring","polar"
"C12H10O3","Xeric",2019,"Spring","polar"
"C12H10O3","Hydric",2018,"Spring","polar"
"C12H10O3","Hydric",2018,"LateSpring","polar"
"C12H10O3","Hydric",2019,"Fall","polar"
"C12H10O3","Hydric",2018,"Fall","polar"
"C12H10O3","Hydric",2017,"Fall","polar"
"C12H10O3","Mesic",2018,"LateSpring","polar"
"C12H10O3","Mesic",2017,"Fall","polar"
"C12H10O3","Mesic",2018,"Spring","polar"
"C12H10O3","Mesic",2018,"Fall","polar"
"C12H10O3","Mesic",2019,"Spring","polar"
"C10H14O2","Xeric",2019,"Fall","polar"
"C10H14O2","Xeric",2017,"Fall","polar"
"C10H14O2","Xeric",2017,"Spring","polar"
"C10H14O2","Xeric",2018,"Fall","polar"
"C10H14O2","Xeric",2018,"Spring","polar"
"C10H14O2","Xeric",2019,"Spring","polar"
"C10H14O2","Hydric",2019,"Spring","polar"
"C10H14O2","Hydric",2018,"Spring","polar"
"C10H14O2","Hydric",2018,"Fall","polar"
"C10H14O2","Hydric",2017,"Fall","polar"
"C10H14O2","Mesic",2018,"LateSpring","polar"
"C10H14O2","Mesic",2018,"Fall","polar"
"C10H14O2","Mesic",2019,"Fall","polar"
"C9H14O5","Xeric",2019,"Fall","polar"
"C9H14O5","Xeric",2017,"Fall","polar"
"C9H14O5","Xeric",2017,"Spring","polar"
"C9H14O5","Xeric",2018,"Fall","polar"
"C9H14O5","Xeric",2018,"Spring","polar"
"C9H14O5","Xeric",2019,"Spring","polar"
"C9H14O5","Hydric",2019,"Spring","polar"
"C9H14O5","Hydric",2017,"Spring","polar"
"C9H14O5","Hydric",2017,"Fall","polar"
"C9H14O5","Hydric",2018,"Spring","polar"
"C9H14O5","Hydric",2018,"LateSpring","polar"
"C9H14O5","Hydric",2019,"Fall","polar"
"C9H14O5","Hydric",2018,"Fall","polar"
"C9H14O5","Mesic",2018,"LateSpring","polar"
"C9H14O5","Mesic",2017,"Fall","polar"
"C9H14O5","Mesic",2018,"Spring","polar"
"C9H14O5","Mesic",2018,"Fall","polar"
"C9H14O5","Mesic",2017,"Spring","polar"
"C9H14O5","Mesic",2019,"Fall","polar"
"C9H14O5","Mesic",2019,"Spring","polar"
"C10H18O4","Xeric",2019,"Fall","polar"
"C10H18O4","Xeric",2017,"Fall","polar"
"C10H18O4","Xeric",2017,"Spring","polar"
"C10H18O4","Xeric",2018,"Fall","polar"
"C10H18O4","Xeric",2018,"Spring","polar"
"C10H18O4","Xeric",2019,"Spring","polar"
"C10H18O4","Hydric",2017,"Spring","polar"
"C10H18O4","Hydric",2017,"Fall","polar"
"C10H18O4","Hydric",2019,"Fall","polar"
"C10H18O4","Hydric",2018,"LateSpring","polar"
"C10H18O4","Hydric",2018,"Spring","polar"
"C10H18O4","Mesic",2018,"LateSpring","polar"
"C10H18O4","Mesic",2017,"Fall","polar"
"C10H18O4","Mesic",2018,"Spring","polar"
"C10H18O4","Mesic",2018,"Fall","polar"
"C10H18O4","Mesic",2017,"Spring","polar"
"C10H18O4","Mesic",2019,"Fall","polar"
"C10H18O4","Mesic",2019,"Spring","polar"
"C11H22O3","Xeric",2019,"Fall","polar"
"C11H22O3","Xeric",2017,"Fall","polar"
"C11H22O3","Xeric",2017,"Spring","polar"
"C11H22O3","Xeric",2018,"Fall","polar"
"C11H22O3","Xeric",2018,"Spring","polar"
"C11H22O3","Xeric",2019,"Spring","polar"
"C11H22O3","Hydric",2019,"Spring","polar"
"C11H22O3","Hydric",2017,"Spring","polar"
"C11H22O3","Hydric",2017,"Fall","polar"
"C11H22O3","Hydric",2018,"Spring","polar"
"C11H22O3","Hydric",2018,"LateSpring","polar"
"C11H22O3","Hydric",2019,"Fall","polar"
"C11H22O3","Hydric",2018,"Fall","polar"
"C11H22O3","Mesic",2018,"LateSpring","polar"
"C11H22O3","Mesic",2017,"Fall","polar"
"C11H22O3","Mesic",2019,"Fall","polar"
"C11H22O3","Mesic",2017,"Spring","polar"
"C11H22O3","Mesic",2019,"Spring","polar"
"C9H17O4N1","Xeric",2018,"Spring","polar"
"C9H17O4N1","Xeric",2019,"Spring","polar"
"C9H17O4N1","Hydric",2018,"LateSpring","polar"
"C9H17O4N1","Hydric",2019,"Spring","polar"
"C9H17O4N1","Hydric",2019,"Fall","polar"
"C9H17O4N1","Hydric",2018,"Fall","polar"
"C9H17O4N1","Hydric",2017,"Spring","polar"
"C9H17O4N1","Mesic",2018,"LateSpring","polar"
"C9H17O4N1","Mesic",2017,"Fall","polar"
"C9H17O4N1","Mesic",2018,"Spring","polar"
"C9H17O4N1","Mesic",2018,"Fall","polar"
"C9H17O4N1","Mesic",2017,"Spring","polar"
"C9H17O4N1","Mesic",2019,"Fall","polar"
"C9H17O4N1","Mesic",2019,"Spring","polar"
"C11H8O4","Xeric",2019,"Fall","polar"
"C11H8O4","Xeric",2017,"Fall","polar"
"C11H8O4","Xeric",2017,"Spring","polar"
"C11H8O4","Xeric",2018,"Fall","polar"
"C11H8O4","Xeric",2018,"Spring","polar"
"C11H8O4","Xeric",2019,"Spring","polar"
"C11H8O4","Hydric",2019,"Spring","polar"
"C11H8O4","Hydric",2017,"Spring","polar"
"C11H8O4","Hydric",2017,"Fall","polar"
"C11H8O4","Hydric",2018,"Spring","polar"
"C11H8O4","Hydric",2018,"LateSpring","polar"
"C11H8O4","Hydric",2019,"Fall","polar"
"C11H8O4","Hydric",2018,"Fall","polar"
